acquisition,RX_level,RX_difference,maxNoise
0,-79.302742,2.296677,1483.0
0,-79.302742,2.296677,1483.0
1,-79.302742,2.296677,1483.0
1,-79.302742,2.296677,1483.0
2,-79.099967,2.529678,1387.0
2,-79.099967,2.529678,1387.0
3,-79.099967,2.529678,1387.0
3,-79.099967,2.529678,1387.0
4,-79.160484,1.947983,1481.0
4,-79.160484,1.947983,1481.0
5,-79.160484,1.947983,1481.0
5,-79.160484,1.947983,1481.0
6,-79.330818,1.920441,1547.0
6,-79.330818,1.920441,1547.0
7,-79.330818,1.920441,1547.0
7,-79.330818,1.920441,1547.0
8,-79.408988,2.037422,1641.0
8,-79.408988,2.037422,1641.0
9,-79.408988,2.037422,1641.0
9,-79.408988,2.037422,1641.0
10,-79.178581,2.285889,1486.0
10,-79.178581,2.285889,1486.0
11,-79.178581,2.285889,1486.0
11,-79.178581,2.285889,1486.0
12,-78.99224,2.597275,1538.0
12,-78.99224,2.597275,1538.0
13,-78.99224,2.597275,1538.0
13,-78.99224,2.597275,1538.0
14,-79.491027,2.104691,1391.0
14,-79.491027,2.104691,1391.0
15,-79.491027,2.104691,1391.0
15,-79.491027,2.104691,1391.0
16,-79.244819,2.174026,1391.0
16,-79.244819,2.174026,1391.0
17,-79.244819,2.174026,1391.0
17,-79.244819,2.174026,1391.0
18,-79.053466,2.084564,1536.0
18,-79.053466,2.084564,1536.0
19,-79.053466,2.084564,1536.0
19,-79.053466,2.084564,1536.0
20,-78.955482,2.632744,1291.0
20,-78.955482,2.632744,1291.0
21,-78.955482,2.632744,1291.0
21,-78.955482,2.632744,1291.0
22,-79.016189,2.918251,1449.0
22,-79.016189,2.918251,1449.0
23,-79.016189,2.918251,1449.0
23,-79.016189,2.918251,1449.0
24,-79.160484,2.256111,1389.0
24,-79.160484,2.256111,1389.0
25,-79.160484,2.256111,1389.0
25,-79.160484,2.256111,1389.0
26,-79.137977,2.174232,1485.0
26,-79.137977,2.174232,1485.0
27,-79.137977,2.174232,1485.0
27,-79.137977,2.174232,1485.0
28,-79.029312,2.49791,1436.0
28,-79.029312,2.49791,1436.0
29,-79.029312,2.49791,1436.0
29,-79.029312,2.49791,1436.0
30,-79.500778,2.144623,1243.0
30,-79.500778,2.144623,1243.0
31,-79.500778,2.144623,1243.0
31,-79.500778,2.144623,1243.0
32,-79.408988,2.623726,1417.0
32,-79.408988,2.623726,1417.0
33,-79.408988,2.623726,1417.0
33,-79.408988,2.623726,1417.0
34,-78.985733,2.954765,1346.0
34,-78.985733,2.954765,1346.0
35,-78.985733,2.954765,1346.0
35,-78.985733,2.954765,1346.0
36,-79.133483,1.885307,1301.0
36,-79.133483,1.885307,1301.0
37,-79.133483,1.885307,1301.0
37,-79.133483,1.885307,1301.0
38,-79.185386,2.046356,1543.0
38,-79.185386,2.046356,1543.0
39,-79.185386,2.046356,1543.0
39,-79.185386,2.046356,1543.0
40,-79.071121,2.863907,1291.0
40,-79.071121,2.863907,1291.0
41,-79.071121,2.863907,1291.0
41,-79.071121,2.863907,1291.0
42,-79.305076,2.064339,1384.0
42,-79.305076,2.064339,1384.0
43,-79.305076,2.064339,1384.0
43,-79.305076,2.064339,1384.0
44,-79.020561,2.856949,1573.0
44,-79.020561,2.856949,1573.0
45,-79.020561,2.856949,1573.0
45,-79.020561,2.856949,1573.0
46,-78.933998,2.207527,1543.0
46,-78.933998,2.207527,1543.0
47,-78.933998,2.207527,1543.0
47,-78.933998,2.207527,1543.0
48,-79.397056,2.030373,1329.0
48,-79.397056,2.030373,1329.0
49,-79.397056,2.030373,1329.0
49,-79.397056,2.030373,1329.0
50,-79.510551,2.609848,1422.0
50,-79.510551,2.609848,1422.0
51,-79.510551,2.609848,1422.0
51,-79.510551,2.609848,1422.0
52,-79.413772,2.026245,1378.0
52,-79.413772,2.026245,1378.0
53,-79.413772,2.026245,1378.0
53,-79.413772,2.026245,1378.0
54,-79.196754,2.831162,1642.0
54,-79.196754,2.831162,1642.0
55,-79.196754,2.831162,1642.0
55,-79.196754,2.831162,1642.0
56,-79.185386,2.320686,1481.0
56,-79.185386,2.320686,1481.0
57,-79.185386,2.320686,1481.0
57,-79.185386,2.320686,1481.0
58,-79.430557,2.456581,1325.0
58,-79.430557,2.456581,1325.0
59,-79.430557,2.456581,1325.0
59,-79.430557,2.456581,1325.0
60,-79.42575,2.077606,1327.0
60,-79.42575,2.077606,1327.0
61,-79.42575,2.077606,1327.0
61,-79.42575,2.077606,1327.0
62,-79.167266,2.500084,1477.0
62,-79.167266,2.500084,1477.0
63,-79.167266,2.500084,1477.0
63,-79.167266,2.500084,1477.0
64,-79.342575,2.25502,1422.0
64,-79.342575,2.25502,1422.0
65,-79.342575,2.25502,1422.0
65,-79.342575,2.25502,1422.0
66,-79.124519,2.350304,1288.0
66,-79.124519,2.350304,1288.0
67,-79.124519,2.350304,1288.0
67,-79.124519,2.350304,1288.0
68,-79.196754,3.243378,1514.0
68,-79.196754,3.243378,1514.0
69,-79.196754,3.243378,1514.0
69,-79.196754,3.243378,1514.0
70,-79.09774,2.762444,1382.0
70,-79.09774,2.762444,1382.0
71,-79.09774,2.762444,1382.0
71,-79.09774,2.762444,1382.0
72,-79.135726,2.304527,1382.0
72,-79.135726,2.304527,1382.0
73,-79.135726,2.304527,1382.0
73,-79.135726,2.304527,1382.0
74,-79.288772,2.211975,1381.0
74,-79.288772,2.211975,1381.0
75,-79.288772,2.211975,1381.0
75,-79.288772,2.211975,1381.0
76,-79.418563,2.805565,1182.0
76,-79.418563,2.805565,1182.0
77,-79.418563,2.805565,1182.0
77,-79.418563,2.805565,1182.0
78,-79.020561,2.892761,1440.0
78,-79.020561,2.892761,1440.0
79,-79.020561,2.892761,1440.0
79,-79.020561,2.892761,1440.0
80,-78.961944,2.907478,1286.0
80,-78.961944,2.907478,1286.0
81,-78.961944,2.907478,1286.0
81,-78.961944,2.907478,1286.0
82,-79.337867,2.630966,1325.0
82,-79.337867,2.630966,1325.0
83,-79.337867,2.630966,1325.0
83,-79.337867,2.630966,1325.0
84,-79.122283,2.228409,1384.0
84,-79.122283,2.228409,1384.0
85,-79.122283,2.228409,1384.0
85,-79.122283,2.228409,1384.0
86,-78.931861,2.865448,1433.0
86,-78.931861,2.865448,1433.0
87,-78.931861,2.865448,1433.0
87,-78.931861,2.865448,1433.0
88,-79.401824,2.095398,1423.0
88,-79.401824,2.095398,1423.0
89,-79.401824,2.095398,1423.0
89,-79.401824,2.095398,1423.0
90,-79.155975,2.034889,1292.0
90,-79.155975,2.034889,1292.0
91,-79.155975,2.034889,1292.0
91,-79.155975,2.034889,1292.0
92,-79.233329,3.368538,1331.0
92,-79.233329,3.368538,1331.0
93,-79.233329,3.368538,1331.0
93,-79.233329,3.368538,1331.0
94,-78.946876,2.931702,1473.0
94,-78.946876,2.931702,1473.0
95,-78.946876,2.931702,1473.0
95,-78.946876,2.931702,1473.0
96,-79.066703,2.433365,1379.0
96,-79.066703,2.433365,1379.0
97,-79.066703,2.433365,1379.0
97,-79.066703,2.433365,1379.0
98,-79.073333,1.984917,1639.0
98,-79.073333,1.984917,1639.0
99,-79.073333,1.984917,1639.0
99,-79.073333,1.984917,1639.0
100,-79.333168,2.123131,1478.0
100,-79.333168,2.123131,1478.0
101,-79.333168,2.123131,1478.0
101,-79.333168,2.123131,1478.0
102,-79.14022,2.04068,1387.0
102,-79.14022,2.04068,1387.0
103,-79.14022,2.04068,1387.0
103,-79.14022,2.04068,1387.0
104,-79.428154,2.248642,1420.0
104,-79.428154,2.248642,1420.0
105,-79.428154,2.248642,1420.0
105,-79.428154,2.248642,1420.0
106,-79.231033,2.471802,1472.0
106,-79.231033,2.471802,1472.0
107,-79.231033,2.471802,1472.0
107,-79.231033,2.471802,1472.0
108,-79.430557,2.382965,1418.0
108,-79.430557,2.382965,1418.0
109,-79.430557,2.382965,1418.0
109,-79.430557,2.382965,1418.0
110,-79.205871,2.291954,1291.0
110,-79.205871,2.291954,1291.0
111,-79.205871,2.291954,1291.0
111,-79.205871,2.291954,1291.0
112,-79.051269,2.183243,1441.0
112,-79.051269,2.183243,1441.0
113,-79.051269,2.183243,1441.0
113,-79.051269,2.183243,1441.0
114,-79.557296,2.561531,1327.0
114,-79.557296,2.561531,1327.0
115,-79.557296,2.561531,1327.0
115,-79.557296,2.561531,1327.0
116,-79.13124,3.432274,1594.0
116,-79.13124,3.432274,1594.0
117,-79.13124,3.432274,1594.0
117,-79.13124,3.432274,1594.0
118,-78.953323,2.834686,1281.0
118,-78.953323,2.834686,1281.0
119,-78.953323,2.834686,1281.0
119,-78.953323,2.834686,1281.0
120,-79.060081,2.844856,1483.0
120,-79.060081,2.844856,1483.0
121,-79.060081,2.844856,1483.0
121,-79.060081,2.844856,1483.0
122,-78.868087,2.912064,1534.0
122,-78.868087,2.912064,1534.0
123,-78.868087,2.912064,1534.0
123,-78.868087,2.912064,1534.0
124,-79.18766,3.309547,1327.0
124,-79.18766,3.309547,1327.0
125,-79.18766,3.309547,1327.0
125,-79.18766,3.309547,1327.0
126,-79.051269,2.62899,1281.0
126,-79.051269,2.62899,1281.0
127,-79.051269,2.62899,1281.0
127,-79.051269,2.62899,1281.0
128,-79.071121,2.09063,1539.0
128,-79.071121,2.09063,1539.0
129,-79.071121,2.09063,1539.0
129,-79.071121,2.09063,1539.0
130,-79.084411,2.322632,1476.0
130,-79.084411,2.322632,1476.0
131,-79.084411,2.322632,1476.0
131,-79.084411,2.322632,1476.0
132,-79.155975,2.22934,1380.0
132,-79.155975,2.22934,1380.0
133,-79.155975,2.22934,1380.0
133,-79.155975,2.22934,1380.0
134,-79.135726,2.317245,1483.0
134,-79.135726,2.317245,1483.0
135,-79.135726,2.317245,1483.0
135,-79.135726,2.317245,1483.0
136,-79.300407,2.056068,1333.0
136,-79.300407,2.056068,1333.0
137,-79.300407,2.056068,1333.0
137,-79.300407,2.056068,1333.0
138,-79.111106,3.003281,1415.0
138,-79.111106,3.003281,1415.0
139,-79.111106,3.003281,1415.0
139,-79.111106,3.003281,1415.0
140,-79.088851,3.321136,1391.0
140,-79.088851,3.321136,1391.0
141,-79.088851,3.321136,1391.0
141,-79.088851,3.321136,1391.0
142,-79.093292,1.962135,1544.0
142,-79.093292,1.962135,1544.0
143,-79.093292,1.962135,1544.0
143,-79.093292,1.962135,1544.0
144,-79.454643,2.17868,1416.0
144,-79.454643,2.17868,1416.0
145,-79.454643,2.17868,1416.0
145,-79.454643,2.17868,1416.0
146,-79.133483,2.046379,1537.0
146,-79.133483,2.046379,1537.0
147,-79.133483,2.046379,1537.0
147,-79.133483,2.046379,1537.0
148,-78.961944,1.995392,1536.0
148,-78.961944,1.995392,1536.0
149,-78.961944,1.995392,1536.0
149,-78.961944,1.995392,1536.0
150,-79.242515,2.219719,1476.0
150,-79.242515,2.219719,1476.0
151,-79.242515,2.219719,1476.0
151,-79.242515,2.219719,1476.0
152,-79.27021,2.32077,1382.0
152,-79.27021,2.32077,1382.0
153,-79.27021,2.32077,1382.0
153,-79.27021,2.32077,1382.0
154,-79.171791,2.811584,1320.0
154,-79.171791,2.811584,1320.0
155,-79.171791,2.811584,1320.0
155,-79.171791,2.811584,1320.0
156,-79.049064,2.534706,1382.0
156,-79.049064,2.534706,1382.0
157,-79.049064,2.534706,1382.0
157,-79.049064,2.534706,1382.0
158,-78.953323,2.41803,1441.0
158,-78.953323,2.41803,1441.0
159,-78.953323,2.41803,1441.0
159,-78.953323,2.41803,1441.0
160,-79.022743,3.111526,1293.0
160,-79.022743,3.111526,1293.0
161,-79.022743,3.111526,1293.0
161,-79.022743,3.111526,1293.0
162,-79.235626,1.954269,1297.0
162,-79.235626,1.954269,1297.0
163,-79.235626,1.954269,1297.0
163,-79.235626,1.954269,1297.0
164,-79.084411,2.222504,1383.0
164,-79.084411,2.222504,1383.0
165,-79.084411,2.222504,1383.0
165,-79.084411,2.222504,1383.0
166,-79.272529,2.148788,1293.0
166,-79.272529,2.148788,1293.0
167,-79.272529,2.148788,1293.0
167,-79.272529,2.148788,1293.0
168,-79.174049,1.97541,1475.0
168,-79.174049,1.97541,1475.0
169,-79.174049,1.97541,1475.0
169,-79.174049,1.97541,1475.0
170,-79.153724,2.262741,1437.0
170,-79.153724,2.262741,1437.0
171,-79.153724,2.262741,1437.0
171,-79.153724,2.262741,1437.0
172,-79.064498,2.53302,1569.0
172,-79.064498,2.53302,1569.0
173,-79.064498,2.53302,1569.0
173,-79.064498,2.53302,1569.0
174,-79.115577,1.985252,1483.0
174,-79.115577,1.985252,1483.0
175,-79.115577,1.985252,1483.0
175,-79.115577,1.985252,1483.0
176,-79.27716,2.064392,1543.0
176,-79.27716,2.064392,1543.0
177,-79.27716,2.064392,1543.0
177,-79.27716,2.064392,1543.0
178,-79.394668,2.196289,1148.0
178,-79.394668,2.196289,1148.0
179,-79.394668,2.196289,1148.0
179,-79.394668,2.196289,1148.0
180,-79.199028,2.925491,1416.0
180,-79.199028,2.925491,1416.0
181,-79.199028,2.925491,1416.0
181,-79.199028,2.925491,1416.0
182,-78.996582,2.03463,1642.0
182,-78.996582,2.03463,1642.0
183,-78.996582,2.03463,1642.0
183,-78.996582,2.03463,1642.0
184,-78.916893,2.640594,1332.0
184,-78.916893,2.640594,1332.0
185,-78.916893,2.640594,1332.0
185,-78.916893,2.640594,1332.0
186,-79.153724,2.793243,1377.0
186,-79.153724,2.793243,1377.0
187,-79.153724,2.793243,1377.0
187,-79.153724,2.793243,1377.0
188,-78.994407,1.994789,1543.0
188,-78.994407,1.994789,1543.0
189,-78.994407,1.994789,1543.0
